hhid,quarter,cluster,personid,s1aq1,s1aq2,s1aq4y,s1aq6,s1aq7,s1aq9a,s1bq1,s2aq1,s2aq3,s2aq4,s2aq5,s2aq12,s2aq13,s3aq1,s3aq5,s3aq22a,s3aq23,s3bq1,s3bq2,s3bq3,s3bq4,s3cq6,s4aq1,region,BMI,pop_weight,hh_weight,econact,urbrur,Edu_Expensis,Training,Disability,Side_Earnings,Secured_Job,Unemployment,Health_issues,Health_hazards,Psychological_trauma,preventive_measures,Good_Health_practice,Health_control,Lterm_percept,Total_Income
117507,1,175,2,2,3,10,3,1,3,1,2,3,4,1,1,9,2,1,2,10,1,1,21,126,1,2,4,13.22751331,693.6519165,642.8240967,3,2,281,0,1,0,2,0,0,0,0,0,0,0,0,183.58
109607,1,96,4,2,3,6,3,1,3,1,2,3,2,1,1,9,1,2,2,10,1,1,20.14999962,123.4000015,1,2,3,13.23258591,1690.396118,2083.513184,3,1,1800,0,1,0,2,0,0,0,0,0,0,0,0,1429.18
105915,1,59,4,1,3,8,3,1,1,1,2,3,1,1,3,9,1,2,2,10,1,2,19.70000076,122,1,2,2,13.23569012,813.4299927,1054.700806,3,1,1095,0,1,0,2,0,0,0,0,0,0,0,0,325.26
107514,1,75,4,2,3,4,5,1,1,1,2,2,0,1,2,9,2,1,2,84,1,1,15.60000038,108.5, , ,2,13.25150299,599.0063477,868.9393921, ,2,150,0,2,0,2,0,0,0,0,0,0,0,0,994.6902655
107111,1,71,5,2,3,6,3,1,1,1,2,3,1,1,3,9,2,1,2,10,1,1,19.89999962,122.5,1,2,2,13.26114082,729.1791992,868.9393921,3,2,394,0,1,0,2,0,0,0,0,0,0,0,0,573.45
119513,1,195,3,2,3,3,3,1,6,1,2,2,2,1,1,9,1,2,2,10,1,1,13.80000019,102, , ,5,13.26412964,1136.773438,1180.808105, ,1,950,0,2,0,2,0,0,0,0,0,0,0,0,1922.222222
114616,1,146,4,1,3,4,3,1,3,1,2,2,0,1,1,9,2,1, ,10,1,1,12.19999981,95.90000153, , ,4,13.2654686,471.8258362,697.0588379, ,1,1005,0,2,0,2,0,0,0,0,0,0,0,0,15
116107,1,161,4,1,3,10,3,1,3,1,2,3,4,1,3,9,1,2,2,10,1,1,22.60000038,130.5,1,2,4,13.270504,528.1037598,697.0588379,3,1,720,0,1,0,2,0,0,0,0,0,0,0,0,362.5
109607,1,96,5,1,3,3,3,1,3,1,2,2,1,1,1,9,2,2,2,10,1,1,13.94999981,102.5, , ,3,13.27781105,1690.396118,2083.513184, ,1,1280,0,2,0,2,0,0,0,0,0,0,0,0,1403.411765
106515,1,65,3,2,3,12,4,1,1,1,2,4,5,1,1,9,1,2,2,10,4, ,28.39999962,146.1999969,1,2,2,13.28689861,928.2669678,1054.700806,3,1,724.6,0,1,0,2,0,0,0,0,0,0,0,0,1548.113208
107805,1,78,10,2,3,6,4,1,1,2,2,3,0,1,1,9,1,2,2,10,4, ,15.39999962,107.5999985,1,2,2,13.30136395,748.8408813,868.9393921,3,2,780,0,1,0,2,0,0,0,0,0,0,0,0,1366.371681
117802,1,178,9,2,8,4,6,1,3,1,2,2,0,1,4,9,3,2, ,84,1,1,14.5,104.4000015, , ,4,13.3035326,553.9522705,642.8240967, ,2,310,0,2,0,2,0,0,0,0,0,0,0,0,92.56989247
119202,1,192,5,2,8,5,3,1,1,1,2,2,1,1,1,9,1,2,2,80,1,1,19,119.5,1,2,5,13.305089,950.6213989,1250.267334,3,1,2195,0,1,0,2,0,0,0,0,0,0,0,0,225
108014,1,80,8,1,8,6,4,1,1,1,2,3,2,1,2,9,2,2, ,10,1,2,19.20000076,120.0999985,1,2,2,13.31114006,520.4672852,868.9393921,3,2,270,0,1,0,2,0,0,0,0,0,0,0,0,1440
113107,1,131,5,1,3,8,4,1,6,1,2,3,2,1,1,9,1,2,2,10,1,2,23.20000076,132,1,2,3,13.31496811,1618.393311,2083.513184,3,1,870,0,1,0,2,0,0,0,0,0,0,0,0,315.23
117107,1,171,3,2,3,11,3,1,3,1,2,3,5,1,1,9,2,2, ,10,4, ,24.89999962,136.6999969,1,2,4,13.32485008,420.5873108,642.8240967,3,2,110,0,1,0,2,0,0,0,0,0,0,0,0,325.7849462
115207,1,152,9,2,3,7,7,1,2,1,2,3,1,1,1,9,1,2,2,10,1,1,23.5,132.8000031,1,2,4,13.32513714,445.3396912,697.0588379,3,1,930,0,1,0,2,0,0,0,0,0,0,0,0,150.78
115004,1,150,2,1,3,3,2,1,3,1,2,1,1,1,2,9,2,2, ,10,1,1,14,102.5, , ,4,13.32540131,796.5101318,697.0588379, ,1,200,0,2,0,2,0,0,0,0,0,0,0,0,334.9137931
107209,1,72,4,1,3,4,1,1,1,1,2,2,2,1,1,9,1,2,2,10,1,1,13.5,100.5999985, , ,2,13.33944702,588.739502,868.9393921, ,2,1285,0,2,0,2,0,0,0,0,0,0,0,0,709.7345133
107805,1,78,12,2,3,4,4,1,1,2,2,2,1,1,1,9,1,2,2,10,4, ,12.39999962,96.40000153, , ,2,13.34343338,748.8408813,868.9393921, ,2,715,0,2,0,2,0,0,0,0,0,0,0,0,1378.761062
102916,1,29,4,1,14,5,3,1,3,1,2,2,1,1,2,9,2,2, ,10,1,2,16.75,112,1,2,1,13.35299778,567.1142578,738.8737183,3,2,55,0,1,0,2,0,0,0,0,0,0,0,0, 
114802,1,148,3,1,14,6,3,1,3,1,1,0,2,2,2,9,2,1,2,84,1,1,16.89999962,112.4000015,1,2,4,13.37685585,642.6165771,697.0588379,3,1,120,0,1,0,2,0,0,0,0,0,0,0,0,15
119207,1,192,4,2,8,3,2,1,1,1,2,1,2,1,1,9,2,1,2,10,1,2,14.10000038,102.5999985, , ,5,13.39443588,950.6213989,1250.267334, ,1,394,0,2,0,2,0,0,0,0,0,0,0,0,75
108108,1,81,7,2,8,4,3,1,1,1,2,2,0,1,2,9,1,2, ,84,1,2,11.60000038,93, , ,2,13.41195583,589.9614868,868.9393921, ,2,180,0,2,0,2,0,0,0,0,0,0,0,1,720
110809,1,108,3,1,3,13,2,1,3,1,2,4,0,1,1,9,1,2,2,10,1,1,29,147,1,2,3,13.42033386,1847.644897,2083.513184,3,1,1130,0,1,0,2,0,0,0,0,0,0,0,1,372.82
111409,1,114,5,2,3,5,3,1,1,1,2,2,1,1,1,9,2,1, ,10,1,1,18.5,117.4000015,1,2,3,13.42256546,2114.95874,2083.513184,3,1,1015,0,1,0,2,0,0,0,0,0,0,0,0,1052.631579
109312,1,93,6,2,3,7,3,1,2,1,2,3,1,1,1,9,1,2,2,10,1,1,23.39999962,132.0200043,1,2,3,13.42568207,1581.828003,2083.513184,3,1,2040,0,1,0,2,0,0,0,0,0,0,0,0,2975.06
119212,1,192,4,1,3,6,2,1,1,1,2,3,2,1,1,9,1,2,2,10,1,1,17.89999962,115.4000015,1,2,5,13.44130325,950.6213989,1250.267334,3,1,844.6,0,1,0,2,0,0,0,0,0,0,0,0,18
108110,1,81,4,1,3,10,3,1,1,1,2,3,3,1,1,9,1,2,2,84,1,1,22.29999924,128.8000031,1,2,2,13.44228554,589.9614868,868.9393921,1,2,512,0,1,0,2,0,0,0,0,0,0,0,0,600
109115,1,91,2,2,3,10,2,1,1,1,2,3,4,1,1,9,1,2,2,10,1,1,29.64999962,148.5,1,2,3,13.44534016,1362.057007,2083.513184,3,1,1145,0,1,0,2,0,0,0,0,0,0,0,0,49.41
112203,1,122,6,2,3,8,2,1,2,1,2,3,3,1,3,9,1,2,2,10,1,1,23.5,132.1999969,1,2,3,13.44636726,2096.107178,2083.513184,3,1,2200,0,1,0,2,0,0,0,0,0,0,0,0,1128.12
117218,1,172,3,2,3,10,2,1,3,1,2,3,3,1,2,9,2,1,2,10,1,1,25.10000038,136.5,1,2,4,13.47126675,443.5053711,642.8240967,3,2,30,0,1,0,2,0,0,0,0,0,0,0,0,263.22
108214,1,82,5,2,8,9,3,1,1,1,2,3,1,1,2,9,2,2, ,10,4, ,21.71999931,126.9000015,1,2,2,13.4876585,671.2452393,868.9393921,3,2,140,0,1,0,2,0,0,0,0,0,0,0,0,55.71428571
106316,1,63,6,2,8,4,3,1,1,1,2,2,1,1,4,9,2,2, ,10,1,2,12.85000038,97.5, , ,2,13.51742268,1022.519043,1116.742065, ,1,100,0,2,0,2,0,0,0,0,0,0,0,0,526.4150943
109714,1,97,5,1,3,3,3,1,1,2,2,2,1,1,1,9,2,2, ,10,1,1,10,86, , ,3,13.52082253,1319.963013,2083.513184, ,1,550,0,2,0,2,0,0,0,0,0,0,0,0,300
107620,1,76,2,2,8,5,2,1,1,1,2,2,1,1,2,9,1,1,2,10,4, ,15.19999981,106,1,2,2,13.52794552,758.3282471,868.9393921,3,2,15,0,1,0,2,0,0,0,0,0,0,0,0,1093.80531
108107,1,81,5,2,3,9,3,1,1,1,3,3,4,1,1,9,2,2, ,84,1,2,24.70000076,135,1,2,2,13.55281258,589.9614868,868.9393921,3,2,200,0,1,0,2,0,0,0,0,0,0,0,0,840
103601,1,36,5,2,3,3,3,1,1,1,2,3,1,1,3,9,2,1,2,10,4, ,16.54999924,110.5, , ,1,13.55418587,444.8033142,738.8737183, ,2,300,0,2,0,2,0,0,0,0,0,0,0,0,1113.75
